R.1	R.2	R.3	R.4	R.5	R.6	G.1	G.2	G.3	G.4	G.5	G.6
gen.038	3.85647321	4.057250418	3.477308847	3.720386086	5.059324859	3.548329015	3.788769856	3.721101176	4.22982249	4.489370677	4.268324811	4.13299541
gen.039	3.688403705	3.202109393	3.69878786	4.190867695	4.108262839	4.167293024	3.726936721	3.760054834	4.029947955	4.213407247	4.186842044	4.594883431
gen.040	4.871068551	4.626995416	4.008434426	3.529961769	4.612321855	3.905558639	4.365335495	3.867321776	4.052901896	4.029794478	3.698879947	4.074265358
gen.041	4.325322844	4.18009132	3.869855856	4.595971414	3.772555839	3.738585075	5.03761522	3.337615009	4.550446657	3.06580797	3.54044938	2.886905814
gen.042	4.018995365	5.012890607	3.635263634	3.839044449	3.626776344	3.837392011	4.274129661	3.614122999	3.456235855	3.984984811	3.625613327	4.504730906
gen.043	3.876806669	3.692896608	3.62017398	4.173901071	3.674771516	3.690306254	4.352615643	4.375501941	4.119883907	3.166368525	4.71607019	3.455405941
gen.044	4.462769094	4.295909217	4.527537622	3.845717298	3.742872774	4.376516596	4.664877007	4.032285925	3.464046141	4.432502247	2.919538484	3.204289907
gen.045	4.137836196	3.876018251	4.326884901	4.460250931	5.035323294	4.300616421	3.379583642	4.331397132	3.294850568	3.122223926	4.199494252	4.255861892
gen.046	3.714463002	4.381103291	4.537111191	3.905870141	3.751868245	3.800754154	3.799345005	2.958733158	4.02895149	3.735114216	5.169955794	4.283513373
gen.047	3.297324393	3.15969056	3.909216513	4.044946091	4.219034746	4.344567752	4.943105078	4.153721089	3.458577804	4.107676215	4.008969891	4.217436309
gen.048	4.405494802	4.797890607	3.863156859	3.871200203	4.151076165	4.605177775	4.532636477	3.922755478	3.704774041	3.782647819	5.014982445	4.048556785
gen.049	3.237872998	3.670172883	4.324897655	4.028185241	4.239343763	4.002199272	3.599585863	4.593953473	3.34876314	3.859818445	3.822966288	3.903221237
gen.050	3.591628921	4.328069518	4.106580273	4.537860387	4.261414925	4.043410182	3.888719913	4.375400191	4.387940986	4.353400083	3.977598009	4.514049816
gen.051	3.429186346	4.328401484	3.708272753	4.354580152	4.422414814	3.992675157	4.240717668	4.219455387	3.922832785	3.708136897	4.536498419	4.231183321
gen.052	3.961771096	3.332335392	3.996156248	3.572590923	4.208515303	3.430358457	5.141233952	4.126112809	4.37095333	5.001831151	4.000401315	3.335493612
gen.053	4.093234576	4.184382998	4.033090828	3.545792662	3.253041096	3.262593064	4.753443601	4.226384032	3.401138666	3.774463504	3.075703272	4.11292741
gen.054	3.770687964	3.378342181	4.259180979	4.65627205	3.903143362	4.268722715	3.328490503	4.056865019	4.824406925	3.370309069	5.040598363	4.001128342
gen.055	5.488543209	5.326383146	5.15499569	5.5091228	5.21315674	6.269668986	4.021522055	3.527756245	3.943019588	3.323747488	4.094908614	4.928125701
gen.056	4.226257271	3.194642442	3.951173777	5.14071554	4.003805667	3.430065145	4.582566599	4.593256573	3.613555701	3.729596993	4.626744168	4.54967586
gen.057	3.88883701	4.119962351	3.986094963	3.605618086	3.368699264	4.541283498	4.852487574	3.527756245	4.269872089	5.104153853	4.295499376	4.153119686
gen.058	4.090628305	3.861846049	4.114183649	3.980660164	3.923761607	4.464709728	4.776367415	3.646206561	4.039955239	3.524640089	4.748127604	3.914577415
gen.059	4.144682986	3.904896413	3.642166131	4.164827725	4.372818931	3.952249823	3.751435666	4.256297881	3.590238531	4.41637918	4.361947059	4.438876668
gen.060	4.441751808	4.88318302	4.559296041	3.40882617	4.482318683	4.207555786	4.219877165	3.929252112	3.836706479	3.850724066	4.479644768	4.792740593
gen.061	3.076544555	4.111280087	4.20235575	3.445751655	3.969477358	3.509516329	3.839890279	3.538579232	3.539631972	3.702631612	3.55365297	4.519924015
gen.062	3.518350933	3.732910965	3.439987732	3.301712705	2.888270056	4.780737537	3.715407739	3.979090717	4.549536026	3.721146082	3.769369765	4.382434564
gen.063	4.43278078	4.490174443	5.188473107	4.017579396	3.772046522	3.646795459	4.009925998	5.32356945	3.468709575	4.641010729	3.900413741	4.457802116
gen.064	3.660266212	3.194783413	4.927484507	4.740712949	3.786048193	4.025848976	3.946559797	4.125560291	4.000975433	4.363340291	4.271377303	3.634814003
gen.065	3.932264245	3.917021114	3.25548309	3.899125669	4.857107807	2.726489139	3.29016667	3.413265641	4.921984338	4.32593789	3.658722345	3.871674845
gen.066	4.986374289	4.0904339	3.148490133	4.152077746	3.332335392	3.221713551	4.102748459	3.998489102	3.998527755	3.472729542	3.187564299	4.722636742
gen.067	4.158339049	4.383973884	3.924767735	4.86095497	4.371910573	3.413037131	4.046059654	4.621823801	4.031481022	3.959929369	4.410725534	4.489494596
gen.068	4.249603431	4.071288468	3.183528416	4.188853164	3.227945864	3.861209972	4.200240038	4.257563784	4.385825842	3.690491563	2.980470082	3.770730028
gen.069	4.121459038	3.478562813	3.469180239	3.875505523	4.389183015	3.02023319	3.413950036	4.738314156	5.424195943	3.939707322	3.541440729	3.125775503
gen.070	4.603827175	4.610543793	3.70981321	3.790650236	4.228335466	2.909861461	4.415406021	5.017701834	4.095181463	4.217225988	3.759110665	3.861528295
gen.071	3.648266567	4.091367269	3.326410034	3.114070306	3.348137862	3.999598685	3.530318746	3.476515313	4.400361841	3.050241968	4.372516524	4.406133154
gen.072	4.073646333	4.072641342	4.465829544	3.649588744	4.440171561	4.296273583	3.843107616	5.234493539	4.20376774	4.598313363	4.342823796	3.836867914
gen.073	4.308305061	4.471229669	3.249755547	3.430212938	3.011206455	3.802657271	3.352939994	4.687005013	3.242966169	4.544041541	3.287643959	3.312306045
gen.074	3.562246558	4.290413027	3.868509803	4.211522888	3.58534886	3.799676971	4.391153208	4.893187462	3.572810339	4.617865226	4.940399332	4.247958383
gen.075	4.46695277	4.071172508	3.860096977	5.2410419	4.431447233	3.577639755	4.722093318	3.784915872	4.734919468	3.923954874	3.663343146	4.114458771
gen.076	3.817089815	4.589025149	4.39417273	3.759368166	3.998451017	4.143646162	4.431391527	4.035467451	3.639344423	4.206972572	4.317563718	4.980289769
gen.077	4.391153208	4.025465852	3.48679374	3.648463245	4.935069693	3.94448217	4.026232101	4.173373564	3.594185738	4.258525006	3.63436494	3.661421271
gen.078	4.846334842	3.593068196	4.71778004	3.33074605	4.685141686	3.518898903	4.19379172	4.276667151	4.424495283	4.496835355	4.692751883	3.60858645
gen.079	4.681347956	4.890372576	3.405349627	3.339725036	3.750223196	3.79127665	3.876175707	4.284007911	4.574573278	4.357932777	4.014019861	5.05397703
gen.080	3.209003363	4.876884769	4.122089432	4.942650331	4.045406523	4.223168399	4.093974108	5.834123395	4.174145498	4.083056193	3.082788236	3.137862687
gen.081	4.319812443	3.384672265	3.626169256	4.53554686	3.98930889	3.279853	3.565101234	4.382485723	3.319522885	4.471826525	4.011800694	4.043717137
gen.082	3.867123393	3.169726834	4.34122877	3.17319883	3.63536311	3.221840881	3.474725882	4.094947836	4.057019065	3.868866212	3.965145889	3.405426934
gen.083	4.400677891	4.401786338	4.326127179	4.020411335	3.720386086	3.597156375	4.250730636	3.413113301	4.537247615	3.463093445	4.120671189	3.921903964
gen.084	3.955822432	4.288558795	3.954861778	4.243384193	3.58356625	4.658177441	3.4531845	4.178133632	3.854917974	3.832261892	3.746489721	4.225367671
gen.085	2.950916051	3.541790885	2.606217559	3.922832785	3.908477548	3.108877091	4.101069304	3.064270924	3.810777354	3.4531845	4.291500442	3.360466063
gen.086	3.66936457	3.818887773	3.995505959	4.396893256	3.455267243	4.716495379	3.033698259	4.599724217	4.21663709	3.547177367	4.325559313	3.510197313
gen.087	4.519596597	4.231310651	4.440735448	3.620582116	3.289643711	3.497620138	4.316955493	4.45224624	4.414543138	4.223717507	4.232205366	3.00268449
gen.088	4.12856276	3.920315759	4.010270469	3.572480647	2.987404979	4.109085931	3.470724106	3.315834884	4.394695689	4.013025101	3.576983782	3.087278866
gen.089	4.510622158	4.634454409	3.936122776	4.212527311	4.830727913	3.508835344	2.068108251	3.373874342	1.541260708	2.379722736	3.950353011	1.955543502
gen.090	3.530972445	4.069009616	4.576204684	3.643350748	4.051901452	4.56339104	3.913451347	4.439157475	4.569275471	3.911431701	2.446655809	4.16713102
gen.091	5.276475814	4.400941644	3.755840463	4.489617378	3.106435098	3.932302899	4.273107617	3.857509465	4.206305799	3.715138301	3.933576191	3.700620492
gen.092	3.280501015	4.172804562	3.461319931	3.817294452	3.450674295	3.433349558	4.461186573	3.68093789	3.715587933	5.048051672	4.273951741	3.624498059
gen.093	4.168264478	4.598626002	3.527636874	3.756013267	4.831641955	3.443483603	4.86950422	4.594108087	4.582265329	3.536349833	3.532159336	4.334309789
gen.094	3.272215518	3.626573981	3.32144874	4.651862138	4.207764401	3.321159976	3.679999405	3.652467295	4.265281415	4.531761088	3.229328296	3.523797669
gen.095	5.080061338	4.223294592	3.229328296	4.007707399	4.72144303	3.462139613	3.844433205	4.132005198	4.524942152	4.138869609	3.963382038	3.281253622
gen.096	3.945752052	4.793952495	3.923413725	3.064930307	4.238272264	4.906716195	3.792069048	3.660025196	4.543350325	3.575175025	4.074574587	3.521141945
gen.097	3.791234586	3.331867002	4.399255669	3.439198746	3.877674099	3.826667363	4.116068577	4.327643193	4.400730187	4.180989446	3.488926505	4.446461854
gen.098	4.022976678	2.925777618	3.549248741	4.297368388	3.869499447	4.291681772	4.06457185	4.224182486	4.673683189	4.052286282	4.198873522	4.242179112
gen.099	4.474399258	3.478891368	3.25710199	4.411744168	3.705775053	5.036960384	4.000478053	3.740774683	4.108576614	4.541215286	4.100874331	4.035390713
gen.100	4.200281534	5.020753189	4.028032332	4.841566816	3.521263589	3.900569492	3.559208845	3.501218326	3.862640152	4.566215022	4.102162403	3.962308266
